"TIME","GEO","UNIT","ACCIDENT","Value","Flag and Footnotes"
"2006","European Union (28 countries)","Number","Total","0","0"
"2007","European Union (28 countries)","Number","Total","0","0"
"2008","European Union (28 countries)","Number","Total","0","0"
"2009","European Union (28 countries)","Number","Total","0","0"
"2010","European Union (28 countries)","Number","Total","0","0"
"2011","European Union (28 countries)","Number","Total","0","0"
"2012","European Union (28 countries)","Number","Total","0","0"
"2006","Belgium","Number","Total","187","0"
"2007","Belgium","Number","Total","217","0"
"2008","Belgium","Number","Total","220","0"
"2009","Belgium","Number","Total","146","0"
"2010","Belgium","Number","Total","40","0"
"2011","Belgium","Number","Total","51","0"
"2012","Belgium","Number","Total","36","0"
"2006","Bulgaria","Number","Total","309","0"
"2007","Bulgaria","Number","Total","56","0"
"2008","Bulgaria","Number","Total","65","0"
"2009","Bulgaria","Number","Total","48","0"
"2010","Bulgaria","Number","Total","39","0"
"2011","Bulgaria","Number","Total","74","0"
"2012","Bulgaria","Number","Total","48","0"
"2006","Czech Republic","Number","Total","233","0"
"2007","Czech Republic","Number","Total","115","0"
"2008","Czech Republic","Number","Total","133","0"
"2009","Czech Republic","Number","Total","113","0"
"2010","Czech Republic","Number","Total","125","0"
"2011","Czech Republic","Number","Total","99","0"
"2012","Czech Republic","Number","Total","97","0"
"2006","Denmark","Number","Total","32","0"
"2007","Denmark","Number","Total","13","0"
"2008","Denmark","Number","Total","15","0"
"2009","Denmark","Number","Total","21","0"
"2010","Denmark","Number","Total","16","0"
"2011","Denmark","Number","Total","16","0"
"2012","Denmark","Number","Total","21","0"
"2006","Germany","Number","Total","983","0"
"2007","Germany","Number","Total","320","0"
"2008","Germany","Number","Total","329","0"
"2009","Germany","Number","Total","310","0"
"2010","Germany","Number","Total","297","0"
"2011","Germany","Number","Total","285","0"
"2012","Germany","Number","Total","289","0"
"2006","Estonia","Number","Total","0","0"
"2007","Estonia","Number","Total","49","0"
"2008","Estonia","Number","Total","26","0"
"2009","Estonia","Number","Total","19","0"
"2010","Estonia","Number","Total","31","0"
"2011","Estonia","Number","Total","28","0"
"2012","Estonia","Number","Total","20","0"
"2006","Ireland","Number","Total","2","0"
"2007","Ireland","Number","Total","5","0"
"2008","Ireland","Number","Total","5","0"
"2009","Ireland","Number","Total","5","0"
"2010","Ireland","Number","Total","3","0"
"2011","Ireland","Number","Total","2","0"
"2012","Ireland","Number","Total","0","0"
"2006","Greece","Number","Total","70","0"
"2007","Greece","Number","Total","53","0"
"2008","Greece","Number","Total","40","0"
"2009","Greece","Number","Total","42","0"
"2010","Greece","Number","Total","39","0"
"2011","Greece","Number","Total","24","0"
"2012","Greece","Number","Total","18","0"
"2006","Spain","Number","Total","77","0"
"2007","Spain","Number","Total","98","0"
"2008","Spain","Number","Total","80","0"
"2009","Spain","Number","Total","51","0"
"2010","Spain","Number","Total","45","0"
"2011","Spain","Number","Total","42","0"
"2012","Spain","Number","Total","51","0"
"2006","France","Number","Total","431","0"
"2007","France","Number","Total","413","0"
"2008","France","Number","Total","453","0"
"2009","France","Number","Total","171","0"
"2010","France","Number","Total","155","0"
"2011","France","Number","Total","154","0"
"2012","France","Number","Total","136","0"
"2006","Croatia","Number","Total","0","0"
"2007","Croatia","Number","Total","0","0"
"2008","Croatia","Number","Total","0","0"
"2009","Croatia","Number","Total","0","0"
"2010","Croatia","Number","Total","45","0"
"2011","Croatia","Number","Total","39","0"
"2012","Croatia","Number","Total","42","0"
"2006","Italy","Number","Total","152","0"
"2007","Italy","Number","Total","130","0"
"2008","Italy","Number","Total","116","0"
"2009","Italy","Number","Total","119","0"
"2010","Italy","Number","Total","103","0"
"2011","Italy","Number","Total","108","0"
"2012","Italy","Number","Total","107","0"
"2006","Latvia","Number","Total","63","0"
"2007","Latvia","Number","Total","51","0"
"2008","Latvia","Number","Total","61","0"
"2009","Latvia","Number","Total","40","0"
"2010","Latvia","Number","Total","41","0"
"2011","Latvia","Number","Total","35","0"
"2012","Latvia","Number","Total","25","0"
"2006","Lithuania","Number","Total","66","0"
"2007","Lithuania","Number","Total","83","0"
"2008","Lithuania","Number","Total","68","0"
"2009","Lithuania","Number","Total","55","0"
"2010","Lithuania","Number","Total","44","0"
"2011","Lithuania","Number","Total","33","0"
"2012","Lithuania","Number","Total","26","0"
"2006","Luxembourg","Number","Total","0","0"
"2007","Luxembourg","Number","Total","0","0"
"2008","Luxembourg","Number","Total","0","0"
"2009","Luxembourg","Number","Total","7","0"
"2010","Luxembourg","Number","Total","3","0"
"2011","Luxembourg","Number","Total","1","0"
"2012","Luxembourg","Number","Total","0","0"
"2006","Hungary","Number","Total","409","0"
"2007","Hungary","Number","Total","162","0"
"2008","Hungary","Number","Total","155","0"
"2009","Hungary","Number","Total","180","0"
"2010","Hungary","Number","Total","142","0"
"2011","Hungary","Number","Total","147","0"
"2012","Hungary","Number","Total","152","0"
"2006","Netherlands","Number","Total","28","0"
"2007","Netherlands","Number","Total","33","0"
"2008","Netherlands","Number","Total","26","0"
"2009","Netherlands","Number","Total","22","0"
"2010","Netherlands","Number","Total","24","0"
"2011","Netherlands","Number","Total","29","0"
"2012","Netherlands","Number","Total","30","0"
"2006","Austria","Number","Total","106","0"
"2007","Austria","Number","Total","104","0"
"2008","Austria","Number","Total","97","0"
"2009","Austria","Number","Total","88","0"
"2010","Austria","Number","Total","79","0"
"2011","Austria","Number","Total","84","0"
"2012","Austria","Number","Total","87","0"
"2006","Poland","Number","Total","928","0"
"2007","Poland","Number","Total","976","0"
"2008","Poland","Number","Total","889","0"
"2009","Poland","Number","Total","523","0"
"2010","Poland","Number","Total","449","0"
"2011","Poland","Number","Total","488","0"
"2012","Poland","Number","Total","379","0"
"2006","Portugal","Number","Total","89","0"
"2007","Portugal","Number","Total","93","0"
"2008","Portugal","Number","Total","73","0"
"2009","Portugal","Number","Total","43","0"
"2010","Portugal","Number","Total","42","0"
"2011","Portugal","Number","Total","27","0"
"2012","Portugal","Number","Total","36","0"
"2006","Romania","Number","Total","419","0"
"2007","Romania","Number","Total","370","0"
"2008","Romania","Number","Total","411","0"
"2009","Romania","Number","Total","304","0"
"2010","Romania","Number","Total","271","0"
"2011","Romania","Number","Total","217","0"
"2012","Romania","Number","Total","215","0"
"2006","Slovenia","Number","Total","70","0"
"2007","Slovenia","Number","Total","61","0"
"2008","Slovenia","Number","Total","65","0"
"2009","Slovenia","Number","Total","19","0"
"2010","Slovenia","Number","Total","21","0"
"2011","Slovenia","Number","Total","11","0"
"2012","Slovenia","Number","Total","14","0"
"2006","Slovakia","Number","Total","199","0"
"2007","Slovakia","Number","Total","222","0"
"2008","Slovakia","Number","Total","217","0"
"2009","Slovakia","Number","Total","236","0"
"2010","Slovakia","Number","Total","85","0"
"2011","Slovakia","Number","Total","84","0"
"2012","Slovakia","Number","Total","96","0"
"2006","Finland","Number","Total","52","0"
"2007","Finland","Number","Total","21","0"
"2008","Finland","Number","Total","27","0"
"2009","Finland","Number","Total","26","0"
"2010","Finland","Number","Total","23","0"
"2011","Finland","Number","Total","14","0"
"2012","Finland","Number","Total","19","0"
"2006","Sweden","Number","Total","51","0"
"2007","Sweden","Number","Total","56","0"
"2008","Sweden","Number","Total","46","0"
"2009","Sweden","Number","Total","46","0"
"2010","Sweden","Number","Total","69","0"
"2011","Sweden","Number","Total","54","0"
"2012","Sweden","Number","Total","47","0"
"2006","United Kingdom","Number","Total","85","0"
"2007","United Kingdom","Number","Total","110","0"
"2008","United Kingdom","Number","Total","104","0"
"2009","United Kingdom","Number","Total","104","0"
"2010","United Kingdom","Number","Total","62","0"
"2011","United Kingdom","Number","Total","78","0"
"2012","United Kingdom","Number","Total","75","0"
"2006","Channel Tunnel","Number","Total","0","0"
"2007","Channel Tunnel","Number","Total","0","0"
"2008","Channel Tunnel","Number","Total","2","0"
"2009","Channel Tunnel","Number","Total","1","0"
"2010","Channel Tunnel","Number","Total","1","0"
"2011","Channel Tunnel","Number","Total","2","0"
"2012","Channel Tunnel","Number","Total","2","0"
"2006","Norway","Number","Total","16","0"
"2007","Norway","Number","Total","12","0"
"2008","Norway","Number","Total","14","0"
"2009","Norway","Number","Total","16","0"
"2010","Norway","Number","Total","20","0"
"2011","Norway","Number","Total","35","0"
"2012","Norway","Number","Total","19","0"
